,ds,cities,y,yhat,yhat_upper,yhat_lower
217,2018-02-01,Belgrade,,283.55727523584005,287.2959789402261,280.0108569359125
218,2018-03-01,Belgrade,,286.19481859859343,290.00461551101205,282.5472680243581
219,2018-04-01,Belgrade,,291.3256456335847,295.03157099537236,287.74734234655125
220,2018-05-01,Belgrade,,297.22649434224707,300.9629254540744,293.26834619348983
221,2018-06-01,Belgrade,,302.46378155654185,306.30096788489294,298.6958376414264
222,2018-07-01,Belgrade,,306.9795479758369,310.5813200823349,303.3767941777535
223,2018-08-01,Belgrade,,305.0333320430307,308.8269519361425,301.0795293268614
224,2018-09-01,Belgrade,,299.7342063158697,303.2165645579778,295.73133157912577
225,2018-10-01,Belgrade,,292.7303423106065,296.83235779035033,288.78803171183176
226,2018-11-01,Belgrade,,285.6477319157778,289.709444503001,281.4639876386772
227,2018-12-01,Belgrade,,281.78230622565496,285.793736397542,277.7807414224867
228,2019-01-01,Belgrade,,280.4573922742913,284.1276111020139,276.6654593962989
229,2019-02-01,Belgrade,,283.51752725602665,287.4336686639294,279.934569317866
230,2019-03-01,Belgrade,,286.25802951458934,290.061341072084,282.46078429371687
231,2019-04-01,Belgrade,,291.81969539500227,295.7023698328496,287.9671389109424
232,2019-05-01,Belgrade,,297.08663563617915,300.732307586853,293.18670319477724
233,2019-06-01,Belgrade,,302.35991420738316,306.31164357991247,298.61750779087606
234,2019-07-01,Belgrade,,306.8899724935361,310.70778411570757,302.95884026504433
235,2019-08-01,Belgrade,,305.70480665561195,309.49313804591316,301.7823363035474
236,2019-09-01,Belgrade,,300.4100041802733,304.4430782352092,296.4855195735045
237,2019-10-01,Belgrade,,292.260925412989,295.92120861111135,288.3578619568259
238,2019-11-01,Belgrade,,285.67243183597327,289.4261362546356,281.64207707372304
239,2019-12-01,Belgrade,,282.2264323753417,285.961209982781,278.35363842358515
240,2020-01-01,Belgrade,,280.73316900778326,284.67946844287025,276.9065548399799
241,2020-02-01,Belgrade,,283.47505500061243,287.35279077846934,279.5438543030024
242,2020-03-01,Belgrade,,286.6714679500248,290.80126492883215,282.6428505122415
243,2020-04-01,Belgrade,,290.9151503073383,294.76797491056,286.82702963588486
244,2020-05-01,Belgrade,,298.0671536665727,302.0786340371583,293.9314711901197
245,2020-06-01,Belgrade,,303.26045643795317,307.1652459244105,299.2294113768468
246,2020-07-01,Belgrade,,307.77891590749533,311.749108414069,303.6167622779074
247,2020-08-01,Belgrade,,304.3013981046937,307.9863498158106,300.16390571954537
248,2020-09-01,Belgrade,,298.92401512690554,302.89877901660714,294.8906754396084
249,2020-10-01,Belgrade,,294.2266750348758,298.35422592926074,290.00022552931
250,2020-11-01,Belgrade,,286.21676262725737,290.1045808748167,281.9304922734528
251,2020-12-01,Belgrade,,281.4982526345199,285.57553270125084,276.9854156119707
252,2021-01-01,Belgrade,,280.48082963237044,284.6778246429122,276.52283239593953
253,2021-02-01,Belgrade,,284.18027494797957,288.59340563177494,280.01861331495786
254,2021-03-01,Belgrade,,286.72337816932827,290.78639897010095,282.86427478806996
255,2021-04-01,Belgrade,,291.41475121326107,295.70775901870803,287.1046578901586
256,2021-05-01,Belgrade,,297.94416625854353,302.53962280547336,293.8782616879243
257,2021-06-01,Belgrade,,303.15483784523605,307.2619299631049,299.0295831364902
258,2021-07-01,Belgrade,,307.6666719194949,311.7548527204386,303.220238585077
259,2021-08-01,Belgrade,,304.95606715990397,309.2824672002453,300.6322375646821
260,2021-09-01,Belgrade,,299.6294415418273,303.90528090344253,295.46890989286055
261,2021-10-01,Belgrade,,293.77657767540364,297.8401568338798,289.35736047108793
262,2021-11-01,Belgrade,,286.2200388101489,290.4883559780912,281.71309505547947
263,2021-12-01,Belgrade,,281.93023161362163,285.9987417307155,277.2905123993865
264,2022-01-01,Belgrade,,280.7639630847587,285.1143671682173,276.6256029951122
265,2022-02-01,Belgrade,,284.1433999336533,288.6110869501514,279.8799414531153
266,2022-03-01,Belgrade,,286.78094329641004,291.23936578072266,282.300242586946
267,2022-04-01,Belgrade,,291.91177033140474,296.0429770529827,287.5587127551119
268,2022-05-01,Belgrade,,297.8126190400676,302.09105363744806,293.5832540814477
269,2022-06-01,Belgrade,,303.0499062543625,307.2647453630938,298.32376086825826
270,2022-07-01,Belgrade,,307.56567267365364,312.04623654907056,303.4947368700574
271,2022-08-01,Belgrade,,305.6194567408438,309.87443587993755,301.3589417344645
272,2022-09-01,Belgrade,,300.3203310136857,304.58461803694655,296.0282336964966
273,2022-10-01,Belgrade,,293.31646700842373,297.79237884327375,288.78539886132484
274,2022-11-01,Belgrade,,286.2338566135933,290.45811698736577,281.9411859407056
275,2022-12-01,Belgrade,,282.3684309234696,286.8704494553139,277.7168767963755
276,2023-01-01,Belgrade,,281.0435169721067,285.64901838600866,276.45710812224536
277,2023-02-01,Belgrade,,284.103651953839,288.66333474875563,279.3607100704954
278,2023-03-01,Belgrade,,286.84415421240504,291.4691945777539,282.2934864387335
279,2023-04-01,Belgrade,,292.4058200928155,296.90959308447634,287.9394999386014
280,2023-05-01,Belgrade,,297.6727603339943,302.37557356267746,293.5034658933939
281,2023-06-01,Belgrade,,302.9460389051955,307.6050815451145,298.1612326013272
282,2023-07-01,Belgrade,,307.47609719135,311.89677616108224,302.91630983311643
283,2023-08-01,Belgrade,,306.29093135342396,310.7808037433658,301.9719585208791
284,2023-09-01,Belgrade,,300.9961288780867,305.82149002591575,296.2960039922578
285,2023-10-01,Belgrade,,292.84705011081036,298.04038325564375,287.91010336159366
286,2023-11-01,Belgrade,,286.25855653379233,290.83688785334834,281.4573258372781
287,2023-12-01,Belgrade,,282.8125570731576,287.459719433284,277.9887760028537
288,2024-01-01,Belgrade,,281.31929370559834,286.1520438056333,276.683843815374
289,2024-02-01,Belgrade,,284.0611796984298,288.56236576664753,278.88201375553655
290,2024-03-01,Belgrade,,287.25759264784244,292.0140798252715,282.5565658216055
291,2024-04-01,Belgrade,,291.5012750051533,296.58532477998267,286.8291213176665
292,2024-05-01,Belgrade,,298.6532783643907,303.32665048973615,293.7899704614366
